,Name,Record,Height,Weight,Reach,Stance,DoB,SLpM,Str Acc,SApM,Str Def,TD Avg,TD Acc,TD Def,Sub Avg,MMA Record,KO/TKO Wins,SUB Wins,U-DEC Wins,M-DEC Wins,S-DEC Wins,KO/TKO Losses,SUB Losses,U-DEC Losses,M-DEC Losses,S-DEC Losses,Total Draws,Total NCs
0,Tom Aaron,5-3-0,--,155lbs.,UNK,,"Jul13,1978",0.00,0%,0.00,0%,0.00,0%,0%,0.0,"[('Matt Ricehouse', 'loss', 'U-DEC'), ('Eric Steenberg', 'win', 'SUBGuillotineChoke')]",0,1,0,0,0,0,0,1,0,0,0,0
1,Danny Abbadi,4-6-0,"5'11""",155lbs.,UNK,Orthodox,"Jul03,1983",3.29,38%,4.41,57%,0.00,0%,77%,0.0,"[('Jorge Gurgel', 'loss', 'S-DEC'), ('Kalib Starnes', 'loss', 'SUBRearNakedChoke')]",0,0,0,0,0,0,1,0,0,1,1,0
2,David Abbott,10-14-0,"6'0""",265lbs.,UNK,Switch,--,1.35,30%,3.55,38%,1.07,33%,66%,0.0,"[('Kevin Ferguson', 'loss', 'KO/TKOPunches'), ('Paul Buentello', 'loss', 'KO/TKOPunch'), ('Hidehiko Yoshida', 'loss', 'SUBGiChoke'), ('Wesley Correira', 'loss', 'KO/TKO'), ('Kimo Leopoldo', 'loss', 'SUBArmTriangle'), ('Frank Mir', 'loss', 'SUBToeHold'), ('Pedro Rizzo', 'loss', 'KO/TKOPunch'), ('Hugo Duarte', 'win', 'KO/TKOPunches'), ('Yoji Anjo', 'win', 'U-DEC'), ('Maurice Smith', 'loss', 'SUBOther'), ('Vitor Belfort', 'loss', 'KO/TKOPunches'), ('Cal Worsham', 'win', 'KO/TKOPunches'), ('Steve Nelmark', 'win', 'KO/TKOPunch'), ('Don Frye', 'loss', 'SUBRearNakedChoke'), ('Sam Adkins', 'win', 'SUBForearmChoke'), ('Scott Ferrozzo', 'loss', 'U-DEC'), ('Steve Jennum', 'win', 'SUBNeckCrank'), ('Dan Severn', 'loss', 'U-DEC'), ('John Matua', 'win', 'KO/TKOPunches'), ('Paul Varelans', 'win', 'KO/TKOPunches'), ('Oleg Taktarov', 'loss', 'SUBRearNakedChoke')]",5,2,1,0,0,5,6,2,0,0,0,0
3,Shamil Abdurakhimov,20-5-0,"6'3""",235lbs.,UNK,Orthodox,"Sep02,1981",2.45,44%,2.45,58%,1.23,24%,47%,0.2,"[('Curtis Blaydes', 'loss', 'KO/TKOElbow'), ('Marcin Tybura', 'win', 'KO/TKOPunches'), ('Andrei Arlovski', 'win', 'U-DEC'), ('Chase Sherman', 'win', 'KO/TKOPunches'), ('Derrick Lewis', 'loss', 'KO/TKOPunches'), ('Walt Harris', 'win', 'S-DEC'), ('Anthony Hamilton', 'win', 'U-DEC'), ('Tim Johnson', 'loss', 'KO/TKOPunches')]",2,0,2,0,1,3,0,0,0,0,0,0
4,Hiroyuki Abe,8-14-3 (1 NC),"5'6""",145lbs.,UNK,Orthodox,--,1.71,36%,3.11,63%,0.00,0%,33%,0.0,"[('Naoki Matsushita', 'draw', 'Other'), ('Luiz Firmino', 'loss', 'SUBArmTriangle')]",0,0,0,0,0,0,1,0,0,0,0,0
5,Daichi Abe,6-2-0,"5'11""",170lbs.,UNK,Orthodox,"Nov27,1991",3.80,33%,4.49,56%,0.33,50%,0%,0.0,"[('Jingliang Li', 'loss', 'U-DEC'), ('Luke Jumeau', 'loss', 'U-DEC'), ('Hyun Gyu Lim', 'win', 'U-DEC')]",0,0,1,0,0,0,0,2,0,0,0,0
6,Papy Abedi,9-3-0,"5'11""",185lbs.,UNK,Southpaw,"Jun30,1978",2.80,55%,3.15,48%,3.47,57%,50%,1.3,"[('Dylan Andrews', 'loss', 'KO/TKOPunch'), ('Besam Yousef', 'win', 'S-DEC'), ('James Head', 'loss', 'SUBRearNakedChoke'), ('Thiago Alves', 'loss', 'SUBRearNakedChoke')]",0,0,0,0,1,1,2,0,0,0,0,0
7,Ricardo Abreu,5-3-0,"5'11""",185lbs.,UNK,Orthodox,"Apr27,1984",3.79,31%,3.98,68%,2.13,42%,100%,0.7,"[('Jake Collier', 'loss', 'S-DEC'), ('Wagner Silva', 'win', 'SUBRearNakedChoke')]",0,1,0,0,0,0,0,0,0,1,1,0
8,Klidson Abreu,15-3-0,"6'0""",205lbs.,UNK,Orthodox,"Dec24,1992",1.97,39%,1.93,59%,0.50,12%,75%,0.0,"[('Sam Alvey', 'win', 'U-DEC'), ('Magomed Ankalaev', 'loss', 'U-DEC')]",0,0,1,0,0,0,0,1,0,0,0,0
9,Daniel Acacio,26-12-0,"5'8""",180lbs.,UNK,Orthodox,"Dec27,1977",3.52,36%,2.85,62%,0.33,20%,81%,0.0,"[('Rousimar Palhares', 'loss', 'SUBHeelHook'), ('Akihiro Gono', 'loss', 'U-DEC'), ('Kazuo Misaki', 'win', 'U-DEC'), ('Daiju Takase', 'win', 'KO/TKO')]",1,0,1,0,0,0,1,1,0,0,0,0
