,Title,Date,Location,Fights,Winners,Methods,Rounds,Times
0,UFC Fight Night: Zabit vs. Kattar,"November 09, 2019","Moscow, Moscow, Russia","['Zabit Magomedsharipov vs Calvin Kattar', 'Alexander Volkov vs Greg Hardy', 'Danny Roberts vs Zelim Imadaev', 'Ed Herman vs Khadis Ibragimov', 'Anthony Rocco Martin vs Ramazan Emeev', 'Shamil Gamzatov vs Klidson Abreu', 'Magomed Ankalaev vs Dalcha Lungiambula', 'Rustam Khabilov vs Sergey Khandozhko', 'Karl Roberson vs Roman Kopylov', 'David Zawada vs Abubakar Nurmagomedov', 'Roosevelt Roberts vs Alexander Yakovlev', 'Pannie Kianzad vs Jessica-Rose Clark', 'Davey Grant vs Grigorii Popov']","['Zabit Magomedsharipov', 'Alexander Volkov', 'Danny Roberts', 'Ed Herman', 'Anthony Rocco Martin', 'Shamil Gamzatov', 'Magomed Ankalaev', 'Rustam Khabilov', 'Karl Roberson', 'David Zawada', 'Roosevelt Roberts', 'Pannie Kianzad', 'Davey Grant']","['U-DEC', 'U-DEC', 'KO/TKO', 'U-DEC', 'U-DEC', 'S-DEC', 'KO/TKO', 'U-DEC', 'SUB', 'SUB', 'U-DEC', 'U-DEC', 'S-DEC']","['3', '3', '2', '3', '3', '3', '3', '3', '3', '1', '3', '3', '3']","['5:00', '5:00', '4:54', '5:00', '5:00', '5:00', '0:29', '5:00', '4:01', '2:50', '5:00', '5:00', '5:00']"
1,UFC 244: Masvidal vs. Diaz,"November 02, 2019","New York City, New York, USA","['Jorge Masvidal vs Nate Diaz', 'Darren Till vs Kelvin Gastelum', 'Stephen Thompson vs Vicente Luque', 'Derrick Lewis vs Blagoy Ivanov', 'Kevin Lee vs Gregor Gillespie', 'Corey Anderson vs Johnny Walker', 'Shane Burgos vs Makwan Amirkhani', 'Edmen Shahbazyan vs Brad Tavares', 'Jairzinho Rozenstruik vs Andrei Arlovski', 'Katlyn Chookagian vs Jennifer Maia', 'Lyman Good vs Chance Rencountre', 'Hakeem Dawodu vs Julio Arce']","['Jorge Masvidal', 'Darren Till', 'Stephen Thompson', 'Derrick Lewis', 'Kevin Lee', 'Corey Anderson', 'Shane Burgos', 'Edmen Shahbazyan', 'Jairzinho Rozenstruik', 'Katlyn Chookagian', 'Lyman Good', 'Hakeem Dawodu']","['KO/TKO', 'S-DEC', 'U-DEC', 'S-DEC', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO', 'S-DEC']","['3', '3', '3', '3', '1', '1', '3', '1', '1', '3', '3', '3']","['5:00', '5:00', '5:00', '5:00', '2:47', '2:07', '4:32', '2:27', '0:29', '5:00', '2:03', '5:00']"
2,UFC Fight Night: Maia vs. Askren,"October 26, 2019","Kallang, Singapore","['Demian Maia vs Ben Askren', 'Stevie Ray vs Michael Johnson', 'Beneil Dariush vs Frank Camacho', ""Ciryl Gane vs Don'Tale Mayes"", 'Muslim Salikhov vs Laureano Staropoli', 'Randa Markos vs Ashley Yoder', 'Rafael Fiziev vs Alex White', 'Movsar Evloev vs Enrique Barzola', 'Sergei Pavlovich vs Maurice Greene', 'Loma Lookboonmee vs Alexandra Albu', 'Raphael Pessoa vs Jeff Hughes']","['Demian Maia', 'Stevie Ray', 'Beneil Dariush', 'Ciryl Gane', 'Muslim Salikhov', 'Randa Markos', 'Rafael Fiziev', 'Movsar Evloev', 'Sergei Pavlovich', 'Loma Lookboonmee', 'Raphael Pessoa']","['SUB', 'M-DEC', 'SUB', 'SUB', 'U-DEC', 'S-DEC', 'U-DEC', 'U-DEC', 'KO/TKO', 'S-DEC', 'U-DEC']","['3', '3', '1', '3', '3', '3', '3', '3', '1', '3', '3']","['3:54', '5:00', '2:02', '4:46', '5:00', '5:00', '5:00', '5:00', '2:11', '5:00', '5:00']"
3,UFC Fight Night: Reyes vs. Weidman,"October 18, 2019","Boston, Massachusetts, USA","['Dominick Reyes vs Chris Weidman', 'Yair Rodriguez vs Jeremy Stephens', 'Greg Hardy vs Ben Sosoli', 'Joe Lauzon vs Jonathan Pearce', 'Maycee Barber vs Gillian Robertson', 'Darren Stewart vs Deron Winn', 'Charles Rosa vs Manny Bermudez', 'Molly McCann vs Diana Belbita', 'Sean Woodson vs Kyle Bochniak', 'Randy Costa vs Boston Salmon', 'Sean Brady vs Court McGee', 'Brendan Allen vs Kevin Holland', 'Tanner Boser vs Daniel Spitz']","['Dominick Reyes', 'Yair Rodriguez', 'Greg Hardy', 'Joe Lauzon', 'Maycee Barber', 'Darren Stewart', 'Charles Rosa', 'Molly McCann', 'Sean Woodson', 'Randy Costa', 'Sean Brady', 'Brendan Allen', 'Tanner Boser']","['KO/TKO', 'U-DEC', 'Overturned', 'KO/TKO', 'KO/TKO', 'S-DEC', 'SUB', 'U-DEC', 'U-DEC', 'KO/TKO', 'U-DEC', 'SUB', 'U-DEC']","['1', '3', '3', '1', '1', '3', '1', '3', '3', '1', '3', '2', '3']","['1:43', '5:00', '5:00', '1:33', '3:04', '5:00', '2:46', '5:00', '5:00', '2:15', '5:00', '3:38', '5:00']"
4,UFC Fight Night: Joanna vs. Waterson,"October 12, 2019","Tampa, Florida, USA","['Joanna Jedrzejczyk vs Michelle Waterson', 'Cub Swanson vs Kron Gracie', 'Niko Price vs James Vick', 'Amanda Ribas vs Mackenzie Dern', 'Matt Frevola vs Luis Pena', 'Eryk Anders vs Gerald Meerschaert', 'Ryan Spann vs Devin Clark', 'Mike Davis vs Thomas Gifford', 'Alex Morono vs Max Griffin', 'Deiveson Figueiredo vs Tim Elliott', 'Marlon Vera vs Andre Ewell', 'Miguel Baeza vs Hector Aldana', 'Marvin Vettori vs Andrew Sanchez', 'JJ Aldrich vs Lauren Mueller']","['Joanna Jedrzejczyk', 'Cub Swanson', 'Niko Price', 'Amanda Ribas', 'Matt Frevola', 'Eryk Anders', 'Ryan Spann', 'Mike Davis', 'Alex Morono', 'Deiveson Figueiredo', 'Marlon Vera', 'Miguel Baeza', 'Marvin Vettori', 'JJ Aldrich']","['U-DEC', 'U-DEC', 'KO/TKO', 'U-DEC', 'S-DEC', 'S-DEC', 'SUB', 'KO/TKO', 'U-DEC', 'SUB', 'KO/TKO', 'KO/TKO', 'U-DEC', 'U-DEC']","['5', '3', '1', '3', '3', '3', '2', '3', '3', '1', '3', '2', '3', '3']","['5:00', '5:00', '1:44', '5:00', '5:00', '5:00', '2:01', '4:45', '5:00', '3:08', '3:17', '2:32', '5:00', '5:00']"
5,UFC 243: Whittaker vs. Adesanya,"October 05, 2019","Melbourne, Victoria, Australia","['Israel Adesanya vs Robert Whittaker', 'Dan Hooker vs Al Iaquinta', 'Serghei Spivac vs Tai Tuivasa', 'Dhiego Lima vs Luke Jumeau', 'Yorgan De Castro vs Justin Tafa', 'Jake Matthews vs Rostem Akman', 'Callan Potter vs Maki Pitolo', 'Brad Riddell vs Jamie Mullarkey', 'Megan Anderson vs Zarah Fairn', 'Ji Yeon Kim vs Nadia Kassem', 'Khalid Taha vs Bruno Silva']","['Israel Adesanya', 'Dan Hooker', 'Serghei Spivac', 'Dhiego Lima', 'Yorgan De Castro', 'Jake Matthews', 'Callan Potter', 'Brad Riddell', 'Megan Anderson', 'Ji Yeon Kim', 'Khalid Taha']","['KO/TKO', 'U-DEC', 'SUB', 'S-DEC', 'KO/TKO', 'U-DEC', 'U-DEC', 'U-DEC', 'SUB', 'KO/TKO', 'SUB']","['2', '3', '2', '3', '1', '3', '3', '3', '1', '2', '3']","['3:33', '5:00', '3:14', '5:00', '2:10', '5:00', '5:00', '5:00', '3:57', '4:59', '3:00']"
6,UFC Fight Night: Hermansson vs. Cannonier,"September 28, 2019","Copenhagen, Denmark","['Jared Cannonier vs Jack Hermansson', 'Mark Madsen vs Danilo Belluardo', 'Gilbert Burns vs Gunnar Nelson', 'Ion Cutelaba vs Khalil Rountree Jr.', 'Ovince Saint Preux vs Michal Oleksiejczuk', 'Nicolas Dalby vs Alex Oliveira', 'John Phillips vs Alen Amedovski', 'Makhmud Muradov vs Alessio Di Chirico', 'Ismail Naurdiev vs Siyar Bahadurzada', 'Giga Chikadze vs Brandon Davis', 'Lina Lansberg vs Macy Chiasson', 'Marc Diakiese vs Lando Vannata', 'Jack Shore vs Nohelin Hernandez']","['Jared Cannonier', 'Mark Madsen', 'Gilbert Burns', 'Ion Cutelaba', 'Ovince Saint Preux', 'Nicolas Dalby', 'John Phillips', 'Makhmud Muradov', 'Ismail Naurdiev', 'Giga Chikadze', 'Lina Lansberg', 'Marc Diakiese', 'Jack Shore']","['KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO', 'SUB', 'U-DEC', 'KO/TKO', 'U-DEC', 'U-DEC', 'S-DEC', 'U-DEC', 'U-DEC', 'SUB']","['2', '1', '3', '1', '2', '3', '1', '3', '3', '3', '3', '3', '3']","['0:27', '1:12', '5:00', '2:35', '2:46', '5:00', '0:17', '5:00', '5:00', '5:00', '5:00', '5:00', '2:51']"
7,UFC Fight Night: Rodriguez vs. Stephens,"September 21, 2019","Mexico City, Distrito Federal, Mexico","['Yair Rodriguez vs Jeremy Stephens', 'Carla Esparza vs Alexa Grasso', 'Brandon Moreno vs Askar Askarov', 'Irene Aldana vs Vanessa Melo', 'Steven Peterson vs Martin Bravo', 'Jose Quinonez vs Carlos Huachin', 'Kyle Nelson vs Polo Reyes', 'Angela Hill vs Ariane Carnelossi', 'Sergio Pettis vs Tyson Nam', 'Paul Craig vs Vinicius Moreira', 'Bethe Correia vs Sijara Eubanks', 'Claudio Puelles vs Marcos Mariano']","['Yair Rodriguez', 'Carla Esparza', 'Brandon Moreno', 'Irene Aldana', 'Steven Peterson', 'Jose Quinonez', 'Kyle Nelson', 'Angela Hill', 'Sergio Pettis', 'Paul Craig', 'Bethe Correia', 'Claudio Puelles']","['CNC', 'M-DEC', 'S-DEC', 'U-DEC', 'KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'SUB', 'U-DEC', 'U-DEC']","['1', '3', '3', '3', '2', '3', '1', '3', '3', '1', '3', '3']","['0:15', '5:00', '5:00', '5:00', '1:31', '5:00', '1:36', '1:56', '5:00', '3:19', '5:00', '5:00']"
8,UFC Fight Night: Cowboy vs. Gaethje,"September 14, 2019","Vancouver, British Columbia, Canada","['Justin Gaethje vs Donald Cerrone', 'Glover Teixeira vs Nikita Krylov', 'Todd Duffee vs Jeff Hughes', 'Tristan Connelly vs Michel Pereira', 'Uriah Hall vs Antonio Carlos Junior', 'Misha Cirkunov vs Jimmy Crute', 'Augusto Sakai vs Marcin Tybura', 'Miles Johns vs Cole Smith', 'Hunter Azure vs Brad Katona', 'Chas Skelly vs Jordan Griffin', 'Louis Smolka vs Ryan MacDonald', 'Austin Hubbard vs Kyle Prepolec']","['Justin Gaethje', 'Glover Teixeira', 'Todd Duffee', 'Tristan Connelly', 'Uriah Hall', 'Misha Cirkunov', 'Augusto Sakai', 'Miles Johns', 'Hunter Azure', 'Chas Skelly', 'Louis Smolka', 'Austin Hubbard']","['KO/TKO', 'S-DEC', 'CNC', 'U-DEC', 'S-DEC', 'SUB', 'KO/TKO', 'S-DEC', 'U-DEC', 'U-DEC', 'KO/TKO', 'U-DEC']","['1', '3', '1', '3', '3', '1', '1', '3', '3', '3', '1', '3']","['4:18', '5:00', '4:03', '5:00', '5:00', '3:38', '0:59', '5:00', '5:00', '5:00', '4:43', '5:00']"
9,UFC 242: Khabib vs. Poirier,"September 07, 2019","Abu Dhabi, Abu Dhabi, United Arab Emirates","['Khabib Nurmagomedov vs Dustin Poirier', 'Paul Felder vs Edson Barboza', 'Islam Makhachev vs Davi Ramos', 'Curtis Blaydes vs Shamil Abdurakhimov', 'Diego Ferreira vs Mairbek Taisumov', 'Joanne Calderwood vs Andrea Lee', 'Zubaira Tukhugov vs Lerone Murphy', 'Sarah Moras vs Liana Jojua', 'Ottman Azaitar vs Teemu Packalen', 'Belal Muhammad vs Takashi Sato', 'Muslim Salikhov vs Nordine Taleb', 'Omari Akhmedov vs Zak Cummings', 'Don Madge vs Fares Ziam']","['Khabib Nurmagomedov', 'Paul Felder', 'Islam Makhachev', 'Curtis Blaydes', 'Diego Ferreira', 'Joanne Calderwood', 'Zubaira Tukhugov', 'Sarah Moras', 'Ottman Azaitar', 'Belal Muhammad', 'Muslim Salikhov', 'Omari Akhmedov', 'Don Madge']","['SUB', 'S-DEC', 'U-DEC', 'KO/TKO', 'U-DEC', 'S-DEC', 'S-DEC', 'KO/TKO', 'KO/TKO', 'SUB', 'KO/TKO', 'U-DEC', 'U-DEC']","['3', '3', '3', '2', '3', '3', '3', '3', '1', '3', '1', '3', '3']","['2:06', '5:00', '5:00', '2:22', '5:00', '5:00', '5:00', '2:26', '3:33', '1:55', '4:26', '5:00', '5:00']"
