Name,f,Unnamed: 0,Name,Record,Height,Weight,Reach,Stance,DoB,SLpM,Str Acc,SApM,Str Def,TD Avg,TD Acc,TD Def,Sub Avg,MMA Record,KO/TKO Wins,SUB Wins,U-DEC Wins,M-DEC Wins,S-DEC Wins,KO/TKO Losses,SUB Losses,U-DEC Losses,M-DEC Losses,S-DEC Losses,Total Draws,Total NCs,Age
Tom Aaron,0,0,Tom Aaron,5/3/00,--,155lbs.,0.0,,"Jul13,1978",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[('Matt Ricehouse', 'loss', 'U-DEC'), ('Eric Steenberg', 'win', 'SUBGuillotineChoke')]",0.0,0.05263157894736842,0.0,0,0,0.0,0.0,0.1111111111111111,0,0,0,0,0.5777777777777777
Danny Abbadi,1,1,Danny Abbadi,4/6/00,"5'11""",155lbs.,0.0,Orthodox,"Jul03,1983",0.329,0.38,0.441,0.57,0.0,0.0,0.77,0.0,"[('Jorge Gurgel', 'loss', 'S-DEC'), ('Kalib Starnes', 'loss', 'SUBRearNakedChoke')]",0.0,0.0,0.0,0,0,0.0,0.14285714285714285,0.0,0,1,1,0,0.4666666666666667
David Abbott,2,2,David Abbott,10/14/00,"6'0""",265lbs.,0.0,Switch,--,0.135,0.3,0.355,0.38,0.10700000000000001,0.33,0.66,0.0,"[('Kevin Ferguson', 'loss', 'KO/TKOPunches'), ('Paul Buentello', 'loss', 'KO/TKOPunch'), ('Hidehiko Yoshida', 'loss', 'SUBGiChoke'), ('Wesley Correira', 'loss', 'KO/TKO'), ('Kimo Leopoldo', 'loss', 'SUBArmTriangle'), ('Frank Mir', 'loss', 'SUBToeHold'), ('Pedro Rizzo', 'loss', 'KO/TKOPunch'), ('Hugo Duarte', 'win', 'KO/TKOPunches'), ('Yoji Anjo', 'win', 'U-DEC'), ('Maurice Smith', 'loss', 'SUBOther'), ('Vitor Belfort', 'loss', 'KO/TKOPunches'), ('Cal Worsham', 'win', 'KO/TKOPunches'), ('Steve Nelmark', 'win', 'KO/TKOPunch'), ('Don Frye', 'loss', 'SUBRearNakedChoke'), ('Sam Adkins', 'win', 'SUBForearmChoke'), ('Scott Ferrozzo', 'loss', 'U-DEC'), ('Steve Jennum', 'win', 'SUBNeckCrank'), ('Dan Severn', 'loss', 'U-DEC'), ('John Matua', 'win', 'KO/TKOPunches'), ('Paul Varelans', 'win', 'KO/TKOPunches'), ('Oleg Taktarov', 'loss', 'SUBRearNakedChoke')]",0.22727272727272727,0.10526315789473684,0.1,0,0,0.4166666666666667,0.8571428571428571,0.2222222222222222,0,0,0,0,0.0
Shamil Abdurakhimov,3,3,Shamil Abdurakhimov,20-5-0,"6'3""",235lbs.,0.9047619047619048,Orthodox,"Sep02,1981",0.24500000000000002,0.44,0.24500000000000002,0.58,0.123,0.24,0.47,0.0,"[('Curtis Blaydes', 'loss', 'KO/TKOElbow'), ('Marcin Tybura', 'win', 'KO/TKOPunches'), ('Andrei Arlovski', 'win', 'U-DEC'), ('Chase Sherman', 'win', 'KO/TKOPunches'), ('Derrick Lewis', 'loss', 'KO/TKOPunches'), ('Walt Harris', 'win', 'S-DEC'), ('Anthony Hamilton', 'win', 'U-DEC'), ('Tim Johnson', 'loss', 'KO/TKOPunches')]",0.09090909090909091,0.0,0.2,0,1,0.25,0.0,0.0,0,0,0,0,0.5111111111111111
Hiroyuki Abe,4,4,Hiroyuki Abe,8-14-3 (1 NC),"5'6""",145lbs.,0.0,Orthodox,--,0.17099999999999999,0.36,0.311,0.63,0.0,0.0,0.33,0.0,"[('Naoki Matsushita', 'draw', 'Other'), ('Luiz Firmino', 'loss', 'SUBArmTriangle')]",0.0,0.0,0.0,0,0,0.0,0.14285714285714285,0.0,0,0,0,0,0.0
Daichi Abe,5,5,Daichi Abe,6/2/00,"5'11""",170lbs.,0.8452380952380952,Orthodox,"Nov27,1991",0.0,0.33,0.449,0.56,0.033,0.5,0.0,0.0,"[('Jingliang Li', 'loss', 'U-DEC'), ('Luke Jumeau', 'loss', 'U-DEC'), ('Hyun Gyu Lim', 'win', 'U-DEC')]",0.0,0.0,0.1,0,0,0.0,0.0,0.2222222222222222,0,0,0,0,0.28888888888888886
Papy Abedi,6,6,Papy Abedi,9/3/00,"5'11""",185lbs.,0.8809523809523809,Southpaw,"Jun30,1978",0.0,0.55,0.315,0.48,0.34700000000000003,0.57,0.5,0.0,"[('Dylan Andrews', 'loss', 'KO/TKOPunch'), ('Besam Yousef', 'win', 'S-DEC'), ('James Head', 'loss', 'SUBRearNakedChoke'), ('Thiago Alves', 'loss', 'SUBRearNakedChoke')]",0.0,0.0,0.0,0,1,0.08333333333333333,0.2857142857142857,0.0,0,0,0,0,0.5777777777777777
Ricardo Abreu,7,7,Ricardo Abreu,5/3/00,"5'11""",185lbs.,0.8690476190476191,Orthodox,"Apr27,1984",0.379,0.31,0.398,0.68,0.213,0.42,1.0,0.0,"[('Jake Collier', 'loss', 'S-DEC'), ('Wagner Silva', 'win', 'SUBRearNakedChoke')]",0.0,0.05263157894736842,0.0,0,0,0.0,0.0,0.0,0,1,1,0,0.4444444444444444
Klidson Abreu,8,8,Klidson Abreu,15-3-0,"6'0""",205lbs.,0.8809523809523809,Orthodox,"Dec24,1992",0.197,0.39,0.193,0.59,0.0,0.12,0.75,0.0,"[('Sam Alvey', 'win', 'U-DEC'), ('Magomed Ankalaev', 'loss', 'U-DEC')]",0.0,0.0,0.1,0,0,0.0,0.0,0.1111111111111111,0,0,0,0,0.26666666666666666
Daniel Acacio,9,9,Daniel Acacio,26-12-0,"5'8""",180lbs.,0.0,Orthodox,"Dec27,1977",0.352,0.36,0.28500000000000003,0.62,0.033,0.2,0.81,0.0,"[('Rousimar Palhares', 'loss', 'SUBHeelHook'), ('Akihiro Gono', 'loss', 'U-DEC'), ('Kazuo Misaki', 'win', 'U-DEC'), ('Daiju Takase', 'win', 'KO/TKO')]",0.045454545454545456,0.0,0.1,0,0,0.0,0.14285714285714285,0.1111111111111111,0,0,0,0,0.6
