,0
0,--
1,--
2,--
3,"76.0"""
4,--
5,"71.0"""
6,"74.0"""
7,"73.0"""
8,"74.0"""
9,--
10,--
11,"80.0"""
12,"77.0"""
13,"80.0"""
14,--
15,--
16,--
17,--
18,--
19,"63.0"""
20,"73.0"""
21,--
22,--
23,"73.0"""
24,"73.0"""
25,"72.0"""
26,--
27,"77.0"""
28,"75.0"""
29,--
30,"66.0"""
31,--
32,"68.0"""
33,"74.0"""
34,--
35,"63.0"""
36,--
37,--
38,"71.0"""
39,"78.0"""
40,--
41,--
42,"68.0"""
43,"72.0"""
44,"70.0"""
45,"67.0"""
46,"71.0"""
47,"72.0"""
48,"72.0"""
49,--
50,"75.0"""
51,--
52,--
53,--
54,"73.0"""
55,--
56,--
57,"74.0"""
58,"75.0"""
59,--
60,"70.0"""
61,"75.0"""
62,"75.0"""
63,"74.0"""
64,--
65,"70.0"""
66,"68.0"""
67,--
68,--
69,--
70,--
71,--
72,--
73,"69.0"""
74,"69.0"""
75,"77.0"""
76,"70.0"""
77,--
78,--
79,"72.0"""
80,"75.0"""
81,--
82,"76.0"""
83,--
84,--
85,--
86,--
87,"74.0"""
88,"72.0"""
89,--
90,--
91,"75.0"""
92,--
93,--
94,--
95,"79.0"""
96,--
97,"72.0"""
98,--
99,"62.0"""
100,"75.0"""
101,--
102,"73.0"""
103,--
104,--
105,--
106,"75.0"""
107,"64.0"""
108,"70.0"""
109,"63.0"""
110,--
111,"77.0"""
112,"70.0"""
113,--
114,"73.0"""
115,--
116,--
117,--
118,"73.0"""
119,"77.0"""
120,"68.0"""
121,"70.0"""
122,--
123,--
124,"77.0"""
125,--
126,"72.0"""
127,--
128,--
129,"71.0"""
130,"72.0"""
131,"73.0"""
132,--
133,--
134,"71.0"""
135,"73.0"""
136,"67.0"""
137,"74.0"""
138,"75.0"""
139,"73.0"""
140,--
141,--
142,"72.0"""
143,"66.0"""
144,--
145,"72.0"""
146,"70.0"""
147,--
148,"74.0"""
149,--
150,"74.0"""
151,--
152,--
153,"72.0"""
154,"68.0"""
155,--
156,--
157,"73.0"""
158,"76.0"""
159,"71.0"""
160,--
161,--
162,"69.0"""
163,"74.0"""
164,"74.0"""
165,"74.0"""
166,--
167,"74.0"""
168,"65.0"""
169,"75.0"""
170,"73.0"""
171,"75.0"""
172,--
173,--
174,--
175,"78.0"""
176,--
177,"70.0"""
178,"71.0"""
179,"71.0"""
180,--
181,"63.0"""
182,"70.0"""
183,--
184,"65.0"""
185,"72.0"""
186,"75.0"""
187,"67.0"""
188,"77.0"""
189,--
190,--
191,"78.0"""
192,--
193,--
194,"72.0"""
195,--
196,--
197,--
198,"73.0"""
199,"74.0"""
200,--
201,--
202,--
203,"75.0"""
204,"74.0"""
205,"70.0"""
206,--
207,--
208,--
209,"67.0"""
210,"70.0"""
211,--
212,"69.0"""
